part,param,noise_sigma,strategy,seed,threshold_val,total_bytes_mbit,recall
A,rho=0.0,0.05,MGL,6,0.2,143.08,0.930379746835443
A,rho=0.0,0.05,Binary,6,0.25,39.900000000000006,0.7436708860759493
A,rho=0.0,0.05,MGL,6,0.25,165.35250000000002,0.9208860759493671
A,rho=0.0,0.05,Binary,6,0.30000000000000004,12.32,0.41455696202531644
A,rho=0.0,0.05,MGL,6,0.30000000000000004,81.3125,0.7563291139240507
A,rho=0.0,0.05,Binary,6,0.3500000000000001,4.340000000000001,0.1962025316455696
A,rho=0.0,0.05,MGL,6,0.3500000000000001,41.39000000000001,0.5791139240506329
A,rho=0.0,0.05,Binary,6,0.4,1.7500000000000002,0.07911392405063292
A,rho=0.0,0.05,MGL,6,0.4,21.2875,0.41455696202531644
A,rho=0.0,0.05,Binary,6,0.45000000000000007,0.42000000000000004,0.0189873417721519
A,rho=0.0,0.05,MGL,6,0.45000000000000007,11.165000000000001,0.27531645569620256
A,rho=0.0,0.05,Binary,6,0.5000000000000001,0.07,0.0031645569620253164
A,rho=0.0,0.05,MGL,6,0.5000000000000001,4.782500000000001,0.12341772151898735
A,rho=0.0,0.05,Binary,6,0.55,0.0,0.0
A,rho=0.0,0.05,MGL,6,0.55,2.0225000000000004,0.04746835443037975
A,rho=0.0,0.05,Binary,7,0.1,2021.6000000000001,1.0
A,rho=0.0,0.05,MGL,7,0.1,2021.6000000000001,1.0
A,rho=0.0,0.05,Binary,7,0.15000000000000002,554.19,0.9968354430379747
A,rho=0.0,0.05,MGL,7,0.15000000000000002,554.19,0.9968354430379747
A,rho=0.0,0.05,Binary,7,0.2,139.44000000000003,0.939873417721519
A,rho=0.0,0.05,MGL,7,0.2,139.44000000000003,0.939873417721519
A,rho=0.0,0.05,Binary,7,0.25,41.160000000000004,0.7879746835443038
A,rho=0.0,0.05,MGL,7,0.25,165.20500000000004,0.9335443037974683
A,rho=0.0,0.05,Binary,7,0.30000000000000004,13.090000000000002,0.43670886075949367
